chunk_id,type_code,type_name_en,type_name_ko,role_group,dimension,facet,trait_signal,rag_use,knowledge_text,source_url,source_section,copyright_note
ISTP_RELATION,ISTP,Virtuoso,장인,Explorers,type_facet,relationships,"space;shared_activity;directness","relationship_context","관계 맥락에서는 개인적 공간, 함께 하는 활동, 직접적이고 간결한 소통이 중요할 수 있다.","https://www.16personalities.com/istp-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ISTP_WORK,ISTP,Virtuoso,장인,Explorers,type_facet,work_style,"technical_tasks;repair;field_problem_solving","work_context","업무 맥락에서는 기술 작업, 수리, 현장 문제 해결, 도구 활용이 필요한 환경에서 강점이 나타날 수 있다.","https://www.16personalities.com/istp-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ISFP_CORE,ISFP,Adventurer,모험가,Explorers,type_core,"core orientation","I;S;F;P","type_overview","ISFP는 현재의 경험, 개인적 가치, 감각적 표현, 조용한 유연성과 관련된 유형이다. 자신에게 편안하고 진정성 있는 방식으로 환경에 반응하는 맥락에서 설명하기 좋다.","https://www.16personalities.com/isfp-personality","Adventurer overview","공개 자료를 한국어로 요약·재작성"
ISFP_STRENGTH,ISFP,Adventurer,모험가,Explorers,type_facet,strengths,"aesthetic_sense;kindness;adaptability","strength_context","강점 맥락에서는 미적 감각, 부드러운 배려, 현재 경험에 대한 민감성, 유연한 적응을 강조할 수 있다.","https://www.16personalities.com/isfp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ISFP_CHALLENGE,ISFP,Adventurer,모험가,Explorers,type_facet,challenges,"avoidance;long_term_planning;self_expression","caution_context","주의 맥락에서는 장기 계획보다 현재 감각을 우선하거나 갈등 표현을 피할 수 있음을 설명한다. 소극적이라고 단정하지 않는다.","https://www.16personalities.com/isfp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ISFP_RELATION,ISFP,Adventurer,모험가,Explorers,type_facet,relationships,"gentleness;authenticity;comfort","relationship_context","관계 맥락에서는 편안함, 진정성, 조용한 관심, 개인의 취향을 존중받는 경험이 중요할 수 있다.","https://www.16personalities.com/isfp-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ISFP_WORK,ISFP,Adventurer,모험가,Explorers,type_facet,work_style,"creative_craft;hands_on;personal_values","work_context","업무 맥락에서는 창작, 디자인, 실습, 돌봄, 개인 가치가 반영되는 역할에서 동기가 커질 수 있다.","https://www.16personalities.com/isfp-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ESTP_CORE,ESTP,Entrepreneur,사업가,Explorers,type_core,"core orientation","E;S;T;P","type_overview","ESTP는 현재 상황에 빠르게 반응하고 직접 실행하며 결과를 확인하는 유형이다. 기회를 포착하고 현실적 행동으로 문제를 해결하는 맥락에서 설명하기 좋다.","https://www.16personalities.com/estp-personality","Entrepreneur overview","공개 자료를 한국어로 요약·재작성"
ESTP_STRENGTH,ESTP,Entrepreneur,사업가,Explorers,type_facet,strengths,"action;persuasion;crisis_response","strength_context","강점 맥락에서는 실행력, 설득력, 현장 판단, 위기 속 빠른 대응, 현실적 기회 포착을 강조할 수 있다.","https://www.16personalities.com/estp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ESTP_CHALLENGE,ESTP,Entrepreneur,사업가,Explorers,type_facet,challenges,"impatience;risk_taking;routine_boredom","caution_context","주의 맥락에서는 지루한 반복보다 즉각적 결과를 선호해 장기 계획이 느슨해질 수 있음을 설명한다. 무모하다고 단정하지 않는다.","https://www.16personalities.com/estp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ESTP_RELATION,ESTP,Entrepreneur,사업가,Explorers,type_facet,relationships,"activity;confidence;direct_fun","relationship_context","관계 맥락에서는 함께 하는 활동, 즉각적인 즐거움, 직접적이고 활기 있는 상호작용을 선호할 수 있다.","https://www.16personalities.com/estp-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ESTP_WORK,ESTP,Entrepreneur,사업가,Explorers,type_facet,work_style,"sales;fieldwork;competition","work_context","업무 맥락에서는 영업, 현장 업무, 경쟁적 환경, 빠른 판단과 행동이 필요한 역할에서 강점이 나타날 수 있다.","https://www.16personalities.com/estp-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ESFP_CORE,ESFP,Entertainer,연예인,Explorers,type_core,"core orientation","E;S;F;P","type_overview","ESFP는 사람들과 함께하는 경험, 현재의 즐거움, 분위기 적응, 감각적 활기와 관련된 유형이다. 현실의 자극과 관계 속에서 에너지를 만드는 맥락에서 설명하기 좋다.","https://www.16personalities.com/esfp-personality","Entertainer overview","공개 자료를 한국어로 요약·재작성"
ESFP_STRENGTH,ESFP,Entertainer,연예인,Explorers,type_facet,strengths,"sociability;spontaneity;warmth","strength_context","강점 맥락에서는 친화력, 즉흥적 적응, 따뜻한 분위기 형성, 현재 경험을 즐기는 능력을 강조할 수 있다.","https://www.16personalities.com/esfp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ESFP_CHALLENGE,ESFP,Entertainer,연예인,Explorers,type_facet,challenges,"long_term_focus;avoidance;impulsivity","caution_context","주의 맥락에서는 장기적 계획이나 반복적 관리보다 현재 경험을 우선할 수 있음을 설명한다. 가볍거나 깊이가 없다고 단정하지 않는다.","https://www.16personalities.com/esfp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ESFP_RELATION,ESFP,Entertainer,연예인,Explorers,type_facet,relationships,"fun;presence;affection","relationship_context","관계 맥락에서는 즐거운 경험 공유, 즉각적인 관심 표현, 함께 있는 순간의 생동감을 중요하게 여길 수 있다.","https://www.16personalities.com/esfp-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ESFP_WORK,ESFP,Entertainer,연예인,Explorers,type_facet,work_style,"people_facing;performance;hospitality","work_context","업무 맥락에서는 사람을 만나는 일, 표현 활동, 서비스, 현장 분위기 조성이 필요한 역할에서 강점이 나타날 수 있다.","https://www.16personalities.com/esfp-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
